16:13:34.297605 IP6 fe80::a00:27ff:fea0:484e > ff02::2: ICMP6, router solicitation, length 16
16:13:36.336015 IP 10.12.254.254 > 224.0.0.13: PIMv2, Hello, length 30
16:13:36.391462 IP 10.12.13.5.5353 > 224.0.0.251.5353: 0 PTR (QU)? _googlecast._tcp.local. (40)
16:13:36.391478 IP6 fe80::c88:8696:fbe8:e71a.5353 > ff02::fb.5353: 0 PTR (QU)? _googlecast._tcp.local. (40)
16:13:37.395193 IP 10.12.13.5.5353 > 224.0.0.251.5353: 0 PTR (QM)? _googlecast._tcp.local. (40)
16:13:37.395210 IP6 fe80::c88:8696:fbe8:e71a.5353 > ff02::fb.5353: 0 PTR (QM)? _googlecast._tcp.local. (40)
16:13:37.970886 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:13:39.516506 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:13:39.516535 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:13:39.717399 ARP, Request who-has 10.12.19.23 tell 10.12.100.171, length 46
16:13:40.821491 IP 10.12.100.171.47555 > 10.12.19.23.110: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.821493 IP 10.12.100.171.47555 > 10.12.19.23.135: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.821494 IP 10.12.100.171.47554 > 10.12.19.23.1723: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.821533 IP 10.12.100.171.47554 > 10.12.19.23.8080: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.821536 IP 10.12.100.171.47554 > 10.12.19.23.445: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.821538 IP 10.12.100.171.47554 > 10.12.19.23.199: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.821669 IP 10.12.100.171.47554 > 10.12.19.23.111: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.821689 IP 10.12.100.171.47554 > 10.12.19.23.1720: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.821691 IP 10.12.100.171.47554 > 10.12.19.23.25: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.821692 IP 10.12.100.171.47554 > 10.12.19.23.3389: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.871566 IP 10.12.100.171.47555 > 10.12.19.23.1723: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.871597 IP 10.12.100.171.47554 > 10.12.19.23.8888: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.871612 IP 10.12.100.171.47554 > 10.12.19.23.143: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.871613 IP 10.12.100.171.47554 > 10.12.19.23.1025: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.871615 IP 10.12.100.171.47554 > 10.12.19.23.256: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.871680 IP 10.12.100.171.47554 > 10.12.19.23.6123: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.871683 IP 10.12.100.171.47554 > 10.12.19.23.1067: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.874159 IP 10.12.100.171.47555 > 10.12.19.23.3389: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.874168 IP 10.12.100.171.47555 > 10.12.19.23.25: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.874169 IP 10.12.100.171.47555 > 10.12.19.23.1720: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.874171 IP 10.12.100.171.47555 > 10.12.19.23.111: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.874218 IP 10.12.100.171.47555 > 10.12.19.23.199: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.874221 IP 10.12.100.171.47555 > 10.12.19.23.445: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.874223 IP 10.12.100.171.47555 > 10.12.19.23.8080: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.922925 IP 10.12.100.171.47555 > 10.12.19.23.1067: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.922948 IP 10.12.100.171.47555 > 10.12.19.23.6123: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.922950 IP 10.12.100.171.47555 > 10.12.19.23.256: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.922952 IP 10.12.100.171.47555 > 10.12.19.23.1025: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.922953 IP 10.12.100.171.47555 > 10.12.19.23.143: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.923022 IP 10.12.100.171.47555 > 10.12.19.23.8888: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.923026 IP 10.12.100.171.47554 > 10.12.19.23.4848: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.925471 IP 10.12.100.171.47554 > 10.12.19.23.1151: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.925480 IP 10.12.100.171.47554 > 10.12.19.23.1213: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.925506 IP 10.12.100.171.47554 > 10.12.19.23.6792: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.925553 IP 10.12.100.171.47554 > 10.12.19.23.8649: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.925595 IP 10.12.100.171.47554 > 10.12.19.23.3878: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.925636 IP 10.12.100.171.47554 > 10.12.19.23.593: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.925639 IP 10.12.100.171.47554 > 10.12.19.23.2003: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.973058 IP 10.12.100.171.47557 > 10.12.19.23.443: Flags [S], seq 2518876968, win 1024, options [mss 1460], length 0
16:13:40.973090 IP 10.12.19.23.443 > 10.12.100.171.47557: Flags [R.], seq 0, ack 2518876969, win 0, length 0
16:13:40.973103 IP 10.12.100.171.47554 > 10.12.19.23.6689: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.973261 IP 10.12.100.171.47554 > 10.12.19.23.50300: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.973281 IP 10.12.100.171.47554 > 10.12.19.23.24: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.973283 IP 10.12.100.171.47554 > 10.12.19.23.5961: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.975546 IP 10.12.100.171.47555 > 10.12.19.23.4848: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.975567 IP 10.12.100.171.47554 > 10.12.19.23.4: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:40.977942 IP 10.12.100.171.47555 > 10.12.19.23.2003: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.977968 IP 10.12.100.171.47555 > 10.12.19.23.593: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.977969 IP 10.12.100.171.47555 > 10.12.19.23.3878: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.977971 IP 10.12.100.171.47555 > 10.12.19.23.8649: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.978030 IP 10.12.100.171.47555 > 10.12.19.23.6792: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.978033 IP 10.12.100.171.47555 > 10.12.19.23.1213: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:40.978035 IP 10.12.100.171.47555 > 10.12.19.23.1151: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.030575 IP 10.12.100.171.47555 > 10.12.19.23.4: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.080631 IP 10.12.100.171.47555 > 10.12.19.23.5961: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.133487 IP 10.12.100.171.47555 > 10.12.19.23.24: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.133510 IP 10.12.100.171.47555 > 10.12.19.23.50300: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.133512 IP 10.12.100.171.47555 > 10.12.19.23.6689: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.133514 IP 10.12.100.171.47554 > 10.12.19.23.9503: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.133566 IP 10.12.100.171.47554 > 10.12.19.23.32: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.133570 IP 10.12.100.171.47554 > 10.12.19.23.912: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.133572 IP 10.12.100.171.47554 > 10.12.19.23.6112: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.133635 IP 10.12.100.171.47554 > 10.12.19.23.10180: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.133639 IP 10.12.100.171.47554 > 10.12.19.23.18988: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.133640 IP 10.12.100.171.47554 > 10.12.19.23.425: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.184420 IP 10.12.100.171.47555 > 10.12.19.23.425: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.184443 IP 10.12.100.171.47555 > 10.12.19.23.18988: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.184445 IP 10.12.100.171.47555 > 10.12.19.23.10180: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.184447 IP 10.12.100.171.47555 > 10.12.19.23.6112: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.184448 IP 10.12.100.171.47555 > 10.12.19.23.912: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.184449 IP 10.12.100.171.47555 > 10.12.19.23.32: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.184507 IP 10.12.100.171.47555 > 10.12.19.23.9503: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.184549 IP 10.12.100.171.47554 > 10.12.19.23.1147: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.184552 IP 10.12.100.171.47554 > 10.12.19.23.10243: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.184553 IP 10.12.100.171.47554 > 10.12.19.23.6004: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.234903 IP 10.12.100.171.47555 > 10.12.19.23.6004: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.234910 IP 10.12.100.171.47555 > 10.12.19.23.10243: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.234912 IP 10.12.100.171.47555 > 10.12.19.23.1147: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.234957 IP 10.12.100.171.47554 > 10.12.19.23.12174: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.234960 IP 10.12.100.171.47554 > 10.12.19.23.1658: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.234961 IP 10.12.100.171.47554 > 10.12.19.23.9040: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.235004 IP 10.12.100.171.47554 > 10.12.19.23.1059: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.235007 IP 10.12.100.171.47554 > 10.12.19.23.88: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.235009 IP 10.12.100.171.47554 > 10.12.19.23.5544: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.235071 IP 10.12.100.171.47554 > 10.12.19.23.32781: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
