16:21:46.185930 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:21:46.185980 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:21:48.594876 IP 10.12.100.171.43772 > 10.12.19.23.445: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.644953 IP 10.12.100.171.43772 > 10.12.19.23.5900: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.644962 IP 10.12.100.171.43772 > 10.12.19.23.1720: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.645001 IP 10.12.100.171.43772 > 10.12.19.23.111: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.645004 IP 10.12.100.171.43772 > 10.12.19.23.110: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.645006 IP 10.12.100.171.43772 > 10.12.19.23.21: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.645007 IP 10.12.100.171.43772 > 10.12.19.23.25: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.645091 IP 10.12.100.171.43772 > 10.12.19.23.3306: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.647607 IP 10.12.100.171.43772 > 10.12.19.23.1025: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.647629 IP 10.12.100.171.43770 > 10.12.19.23.143: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.647688 IP 10.12.100.171.43770 > 10.12.19.23.22: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.695448 IP 10.12.100.171.43770 > 10.12.19.23.113: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.695497 IP 10.12.100.171.43770 > 10.12.19.23.139: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.695499 IP 10.12.100.171.43770 > 10.12.19.23.199: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.695501 IP 10.12.100.171.43770 > 10.12.19.23.3389: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.695502 IP 10.12.100.171.43770 > 10.12.19.23.1723: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.695504 IP 10.12.100.171.43770 > 10.12.19.23.993: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.695506 IP 10.12.100.171.43770 > 10.12.19.23.8222: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.697799 IP 10.12.100.171.43771 > 10.12.19.23.22: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.697807 IP 10.12.100.171.43771 > 10.12.19.23.143: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.697809 IP 10.12.100.171.43770 > 10.12.19.23.5003: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.745484 IP 10.12.100.171.43771 > 10.12.19.23.113: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.747677 IP 10.12.100.171.43771 > 10.12.19.23.8222: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.747697 IP 10.12.100.171.43771 > 10.12.19.23.993: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.747699 IP 10.12.100.171.43771 > 10.12.19.23.1723: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.747701 IP 10.12.100.171.43771 > 10.12.19.23.3389: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.747754 IP 10.12.100.171.43771 > 10.12.19.23.199: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.747758 IP 10.12.100.171.43771 > 10.12.19.23.139: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.749923 IP 10.12.100.171.43771 > 10.12.19.23.5003: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.749935 IP 10.12.100.171.43772 > 10.12.19.23.143: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.749937 IP 10.12.100.171.43772 > 10.12.19.23.22: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.795649 IP 10.12.100.171.43773 > 10.12.19.23.443: Flags [.], ack 4218290587, win 1024, length 0
16:21:48.795685 IP 10.12.19.23.443 > 10.12.100.171.43773: Flags [R], seq 4218290587, win 0, length 0
16:21:48.797880 IP 10.12.100.171.43772 > 10.12.19.23.139: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.797893 IP 10.12.100.171.43772 > 10.12.19.23.199: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.797894 IP 10.12.100.171.43772 > 10.12.19.23.3389: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.797953 IP 10.12.100.171.43772 > 10.12.19.23.1723: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.797957 IP 10.12.100.171.43772 > 10.12.19.23.993: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.797999 IP 10.12.100.171.43772 > 10.12.19.23.8222: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.800160 IP 10.12.100.171.43772 > 10.12.19.23.5003: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.800173 IP 10.12.100.171.43772 > 10.12.19.23.113: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.800175 IP 10.12.100.171.43770 > 10.12.19.23.280: Flags [.], ack 4201513115, win 1024, length 0
16:21:48.850638 IP 10.12.100.171.43771 > 10.12.19.23.280: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.900850 IP 10.12.100.171.43772 > 10.12.19.23.280: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.951304 IP 10.12.100.171.43770 > 10.12.19.23.32778: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.003976 IP 10.12.100.171.43771 > 10.12.19.23.32778: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.003998 IP 10.12.100.171.43770 > 10.12.19.23.9102: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.004000 IP 10.12.100.171.43770 > 10.12.19.23.1455: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.004002 IP 10.12.100.171.43770 > 10.12.19.23.50003: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.004003 IP 10.12.100.171.43770 > 10.12.19.23.38292: Flags [.], ack 4201513115, win 1024, length 0
