16:18:56.442910 IP 10.12.10.1.5353 > 224.0.0.251.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:56.442937 IP6 fe80::10ff:9e5:978:2f7e.5353 > ff02::fb.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:57.402921 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:18:59.370269 IP 10.12.100.171.44369 > 10.12.19.23.389: Flags [none], win 1024, length 0
16:18:59.415311 IP 10.12.100.171.44370 > 10.12.19.23.21: Flags [none], win 1024, length 0
16:18:59.415329 IP 10.12.100.171.44370 > 10.12.19.23.445: Flags [none], win 1024, length 0
16:18:59.417992 IP 10.12.100.171.44370 > 10.12.19.23.1783: Flags [none], win 1024, length 0
16:18:59.417999 IP 10.12.100.171.44370 > 10.12.19.23.143: Flags [none], win 1024, length 0
16:18:59.418000 IP 10.12.100.171.44370 > 10.12.19.23.110: Flags [none], win 1024, length 0
16:18:59.418046 IP 10.12.100.171.44370 > 10.12.19.23.995: Flags [none], win 1024, length 0
16:18:59.418048 IP 10.12.100.171.44370 > 10.12.19.23.443: Flags [none], win 1024, length 0
16:18:59.418063 IP 10.12.19.23.443 > 10.12.100.171.44370: Flags [R.], seq 0, ack 2300656696, win 0, length 0
16:18:59.418074 IP 10.12.100.171.44370 > 10.12.19.23.23: Flags [none], win 1024, length 0
16:18:59.418151 IP 10.12.100.171.44370 > 10.12.19.23.139: Flags [none], win 1024, length 0
16:18:59.420621 IP 10.12.100.171.44370 > 10.12.19.23.389: Flags [none], win 1024, length 0
16:18:59.449319 IP 10.12.10.1.5353 > 224.0.0.251.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:59.449328 IP6 fe80::10ff:9e5:978:2f7e.5353 > ff02::fb.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:59.465584 IP 10.12.100.171.44369 > 10.12.19.23.9101: Flags [none], win 1024, length 0
16:18:59.465589 IP 10.12.100.171.44369 > 10.12.19.23.2909: Flags [none], win 1024, length 0
16:18:59.468461 IP 10.12.100.171.44369 > 10.12.19.23.8084: Flags [none], win 1024, length 0
16:18:59.468466 IP 10.12.100.171.44369 > 10.12.19.23.19350: Flags [none], win 1024, length 0
16:18:59.468468 IP 10.12.100.171.44369 > 10.12.19.23.1352: Flags [none], win 1024, length 0
16:18:59.468469 IP 10.12.100.171.44369 > 10.12.19.23.800: Flags [none], win 1024, length 0
16:18:59.468514 IP 10.12.100.171.44369 > 10.12.19.23.3301: Flags [none], win 1024, length 0
16:18:59.468516 IP 10.12.100.171.44369 > 10.12.19.23.6006: Flags [none], win 1024, length 0
16:18:59.468556 IP 10.12.100.171.44369 > 10.12.19.23.5566: Flags [none], win 1024, length 0
16:18:59.470871 IP 10.12.100.171.44369 > 10.12.19.23.3371: Flags [none], win 1024, length 0
16:18:59.515963 IP 10.12.100.171.44370 > 10.12.19.23.2909: Flags [none], win 1024, length 0
16:18:59.515980 IP 10.12.100.171.44370 > 10.12.19.23.9101: Flags [none], win 1024, length 0
16:18:59.518868 IP 10.12.100.171.44370 > 10.12.19.23.5566: Flags [none], win 1024, length 0
16:18:59.518874 IP 10.12.100.171.44370 > 10.12.19.23.6006: Flags [none], win 1024, length 0
16:18:59.518875 IP 10.12.100.171.44370 > 10.12.19.23.3301: Flags [none], win 1024, length 0
16:18:59.518876 IP 10.12.100.171.44370 > 10.12.19.23.800: Flags [none], win 1024, length 0
16:18:59.518953 IP 10.12.100.171.44370 > 10.12.19.23.1352: Flags [none], win 1024, length 0
16:18:59.519007 IP 10.12.100.171.44370 > 10.12.19.23.19350: Flags [none], win 1024, length 0
16:18:59.519009 IP 10.12.100.171.44370 > 10.12.19.23.8084: Flags [none], win 1024, length 0
16:18:59.521551 IP 10.12.100.171.44370 > 10.12.19.23.3371: Flags [none], win 1024, length 0
16:19:00.061697 IP 10.12.10.1.5353 > 224.0.0.251.5353: 0 [4q] PTR (QM)? _airport._tcp.local. PTR (QM)? _googlecast._tcp.local. PTR (QM)? _airplay._tcp.local. PTR (QM)? _raop._tcp.local. (82)
