11:42:39.704750 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:42:42.215667 IP 10.12.100.44.38344 > 10.12.19.23.21: Flags [none], win 1024, length 0
11:42:42.215668 IP 10.12.100.44.38344 > 10.12.19.23.1723: Flags [none], win 1024, length 0
11:42:42.266732 IP 10.12.100.44.38345 > 10.12.19.23.1723: Flags [none], win 1024, length 0
11:42:42.266750 IP 10.12.100.44.38345 > 10.12.19.23.21: Flags [none], win 1024, length 0
11:42:42.266751 IP 10.12.100.44.38345 > 10.12.19.23.143: Flags [none], win 1024, length 0
11:42:42.266753 IP 10.12.100.44.38345 > 10.12.19.23.445: Flags [none], win 1024, length 0
11:42:42.266753 IP 10.12.100.44.38345 > 10.12.19.23.113: Flags [none], win 1024, length 0
11:42:42.266810 IP 10.12.100.44.38344 > 10.12.19.23.995: Flags [none], win 1024, length 0
11:42:42.266812 IP 10.12.100.44.38344 > 10.12.19.23.25: Flags [none], win 1024, length 0
11:42:42.266813 IP 10.12.100.44.38344 > 10.12.19.23.554: Flags [none], win 1024, length 0
11:42:42.317986 IP 10.12.100.44.38347 > 10.12.19.23.443: Flags [none], win 1024, length 0
11:42:42.318028 IP 10.12.100.44.38345 > 10.12.19.23.554: Flags [none], win 1024, length 0
11:42:42.318031 IP 10.12.100.44.38345 > 10.12.19.23.25: Flags [none], win 1024, length 0
11:42:42.318032 IP 10.12.100.44.38345 > 10.12.19.23.995: Flags [none], win 1024, length 0
11:42:42.318033 IP 10.12.100.44.38346 > 10.12.19.23.113: Flags [none], win 1024, length 0
11:42:42.318034 IP 10.12.100.44.38346 > 10.12.19.23.445: Flags [none], win 1024, length 0
11:42:42.318035 IP 10.12.100.44.38346 > 10.12.19.23.143: Flags [none], win 1024, length 0
11:42:42.318118 IP 10.12.100.44.38346 > 10.12.19.23.21: Flags [none], win 1024, length 0
11:42:42.368651 IP 10.12.100.44.38346 > 10.12.19.23.995: Flags [none], win 1024, length 0
11:42:42.419431 IP 10.12.100.44.38346 > 10.12.19.23.25: Flags [none], win 1024, length 0
11:42:42.469690 IP 10.12.100.44.38346 > 10.12.19.23.554: Flags [none], win 1024, length 0
11:42:42.523496 IP 10.12.100.44.38346 > 10.12.19.23.1723: Flags [none], win 1024, length 0
11:42:42.523514 IP 10.12.100.44.38344 > 10.12.19.23.464: Flags [none], win 1024, length 0
11:42:42.523515 IP 10.12.100.44.38344 > 10.12.19.23.9081: Flags [none], win 1024, length 0
11:42:42.523517 IP 10.12.100.44.38344 > 10.12.19.23.3003: Flags [none], win 1024, length 0
11:42:42.523578 IP 10.12.100.44.38344 > 10.12.19.23.1045: Flags [none], win 1024, length 0
11:42:42.574676 IP 10.12.100.44.38345 > 10.12.19.23.1045: Flags [none], win 1024, length 0
11:42:42.574704 IP 10.12.100.44.38345 > 10.12.19.23.3003: Flags [none], win 1024, length 0
11:42:42.574705 IP 10.12.100.44.38345 > 10.12.19.23.9081: Flags [none], win 1024, length 0
11:42:42.574706 IP 10.12.100.44.38345 > 10.12.19.23.464: Flags [none], win 1024, length 0
11:42:42.574807 IP 10.12.100.44.38344 > 10.12.19.23.50500: Flags [none], win 1024, length 0
11:42:42.625008 IP 10.12.100.44.38345 > 10.12.19.23.50500: Flags [none], win 1024, length 0
11:42:42.625027 IP 10.12.100.44.38346 > 10.12.19.23.464: Flags [none], win 1024, length 0
11:42:42.625028 IP 10.12.100.44.38346 > 10.12.19.23.9081: Flags [none], win 1024, length 0
11:42:42.625029 IP 10.12.100.44.38346 > 10.12.19.23.3003: Flags [none], win 1024, length 0
11:42:42.625091 IP 10.12.100.44.38346 > 10.12.19.23.1045: Flags [none], win 1024, length 0
11:42:42.675292 IP 10.12.100.44.38346 > 10.12.19.23.50500: Flags [none], win 1024, length 0
11:42:42.675310 IP 10.12.100.44.38344 > 10.12.19.23.5030: Flags [none], win 1024, length 0
11:42:42.675311 IP 10.12.100.44.38344 > 10.12.19.23.2196: Flags [none], win 1024, length 0
11:42:42.675312 IP 10.12.100.44.38344 > 10.12.19.23.1236: Flags [none], win 1024, length 0
11:42:42.675313 IP 10.12.100.44.38344 > 10.12.19.23.1021: Flags [none], win 1024, length 0
11:42:42.725386 IP 10.12.100.44.38345 > 10.12.19.23.5030: Flags [none], win 1024, length 0
11:42:42.725405 IP 10.12.100.44.38344 > 10.12.19.23.901: Flags [none], win 1024, length 0
11:42:42.727876 IP 10.12.100.44.38345 > 10.12.19.23.1021: Flags [none], win 1024, length 0
11:42:42.727896 IP 10.12.100.44.38345 > 10.12.19.23.1236: Flags [none], win 1024, length 0
11:42:42.727897 IP 10.12.100.44.38345 > 10.12.19.23.2196: Flags [none], win 1024, length 0
11:42:42.775426 IP 10.12.100.44.38346 > 10.12.19.23.5030: Flags [none], win 1024, length 0
11:42:42.777561 IP 10.12.100.44.38345 > 10.12.19.23.901: Flags [none], win 1024, length 0
11:42:42.779706 IP 10.12.100.44.38346 > 10.12.19.23.2196: Flags [none], win 1024, length 0
11:42:42.779712 IP 10.12.100.44.38346 > 10.12.19.23.1236: Flags [none], win 1024, length 0
11:42:42.779713 IP 10.12.100.44.38346 > 10.12.19.23.1021: Flags [none], win 1024, length 0
11:42:42.826332 IP 10.12.100.44.38344 > 10.12.19.23.8200: Flags [none], win 1024, length 0
11:42:42.828761 IP 10.12.100.44.38346 > 10.12.19.23.901: Flags [none], win 1024, length 0
11:42:42.831002 IP 10.12.100.44.38344 > 10.12.19.23.1974: Flags [none], win 1024, length 0
11:42:42.831070 IP 10.12.100.44.38344 > 10.12.19.23.6156: Flags [none], win 1024, length 0
11:42:42.831073 IP 10.12.100.44.38344 > 10.12.19.23.25735: Flags [none], win 1024, length 0
11:42:42.876807 IP 10.12.100.44.38345 > 10.12.19.23.8200: Flags [none], win 1024, length 0
11:42:42.879238 IP 10.12.100.44.38344 > 10.12.19.23.2809: Flags [none], win 1024, length 0
11:42:42.881376 IP 10.12.100.44.38345 > 10.12.19.23.25735: Flags [none], win 1024, length 0
11:42:42.881391 IP 10.12.100.44.38345 > 10.12.19.23.6156: Flags [none], win 1024, length 0
11:42:42.881392 IP 10.12.100.44.38345 > 10.12.19.23.1974: Flags [none], win 1024, length 0
11:42:42.927324 IP 10.12.100.44.38346 > 10.12.19.23.8200: Flags [none], win 1024, length 0
11:42:42.929652 IP 10.12.100.44.38345 > 10.12.19.23.2809: Flags [none], win 1024, length 0
11:42:42.932102 IP 10.12.100.44.38346 > 10.12.19.23.1974: Flags [none], win 1024, length 0
11:42:42.932108 IP 10.12.100.44.38346 > 10.12.19.23.6156: Flags [none], win 1024, length 0
11:42:42.932110 IP 10.12.100.44.38346 > 10.12.19.23.25735: Flags [none], win 1024, length 0
11:42:42.977563 IP 10.12.100.44.38344 > 10.12.19.23.2179: Flags [none], win 1024, length 0
11:42:42.980143 IP 10.12.100.44.38346 > 10.12.19.23.2809: Flags [none], win 1024, length 0
11:42:42.982704 IP 10.12.100.44.38344 > 10.12.19.23.10024: Flags [none], win 1024, length 0
11:42:42.982723 IP 10.12.100.44.38344 > 10.12.19.23.3325: Flags [none], win 1024, length 0
11:42:42.982724 IP 10.12.100.44.38344 > 10.12.19.23.1187: Flags [none], win 1024, length 0
11:42:43.028290 IP 10.12.100.44.38345 > 10.12.19.23.2179: Flags [none], win 1024, length 0
11:42:43.030826 IP 10.12.100.44.38344 > 10.12.19.23.8093: Flags [none], win 1024, length 0
11:42:43.033134 IP 10.12.100.44.38345 > 10.12.19.23.1187: Flags [none], win 1024, length 0
11:42:43.033140 IP 10.12.100.44.38345 > 10.12.19.23.3325: Flags [none], win 1024, length 0
11:42:43.033154 IP 10.12.100.44.38345 > 10.12.19.23.10024: Flags [none], win 1024, length 0
11:42:43.078541 IP 10.12.100.44.38346 > 10.12.19.23.2179: Flags [none], win 1024, length 0
11:42:43.081214 IP 10.12.100.44.38345 > 10.12.19.23.8093: Flags [none], win 1024, length 0
11:42:43.083727 IP 10.12.100.44.38346 > 10.12.19.23.10024: Flags [none], win 1024, length 0
11:42:43.083733 IP 10.12.100.44.38346 > 10.12.19.23.3325: Flags [none], win 1024, length 0
11:42:43.083735 IP 10.12.100.44.38346 > 10.12.19.23.1187: Flags [none], win 1024, length 0
11:42:43.128633 IP 10.12.100.44.38344 > 10.12.19.23.3211: Flags [none], win 1024, length 0
11:42:43.131367 IP 10.12.100.44.38346 > 10.12.19.23.8093: Flags [none], win 1024, length 0
11:42:43.134288 IP 10.12.100.44.38344 > 10.12.19.23.49153: Flags [none], win 1024, length 0
11:42:43.134297 IP 10.12.100.44.38344 > 10.12.19.23.6123: Flags [none], win 1024, length 0
11:42:43.134298 IP 10.12.100.44.38344 > 10.12.19.23.50002: Flags [none], win 1024, length 0
11:42:43.178653 IP 10.12.100.44.38345 > 10.12.19.23.3211: Flags [none], win 1024, length 0
11:42:43.181747 IP 10.12.100.44.38344 > 10.12.19.23.6005: Flags [none], win 1024, length 0
11:42:43.184563 IP 10.12.100.44.38345 > 10.12.19.23.50002: Flags [none], win 1024, length 0
11:42:43.184569 IP 10.12.100.44.38345 > 10.12.19.23.6123: Flags [none], win 1024, length 0
11:42:43.184570 IP 10.12.100.44.38345 > 10.12.19.23.49153: Flags [none], win 1024, length 0
11:42:43.229448 IP 10.12.100.44.38346 > 10.12.19.23.3211: Flags [none], win 1024, length 0
11:42:43.232270 IP 10.12.100.44.38345 > 10.12.19.23.6005: Flags [none], win 1024, length 0
11:42:43.235060 IP 10.12.100.44.38346 > 10.12.19.23.49153: Flags [none], win 1024, length 0
11:42:43.235106 IP 10.12.100.44.38346 > 10.12.19.23.6123: Flags [none], win 1024, length 0
11:42:43.235109 IP 10.12.100.44.38346 > 10.12.19.23.50002: Flags [none], win 1024, length 0
11:42:43.279655 IP 10.12.100.44.38344 > 10.12.19.23.2200: Flags [none], win 1024, length 0
11:42:43.282862 IP 10.12.100.44.38346 > 10.12.19.23.6005: Flags [none], win 1024, length 0
11:42:43.285227 IP 10.12.100.44.38344 > 10.12.19.23.9010: Flags [none], win 1024, length 0
11:42:43.285245 IP 10.12.100.44.38344 > 10.12.19.23.888: Flags [none], win 1024, length 0
11:42:43.287404 IP 10.12.100.44.38344 > 10.12.19.23.16012: Flags [none], win 1024, length 0
11:42:43.330083 IP 10.12.100.44.38345 > 10.12.19.23.2200: Flags [none], win 1024, length 0
11:42:43.333481 IP 10.12.100.44.38344 > 10.12.19.23.5004: Flags [none], win 1024, length 0
11:42:43.336017 IP 10.12.100.44.38345 > 10.12.19.23.888: Flags [none], win 1024, length 0
11:42:43.336023 IP 10.12.100.44.38345 > 10.12.19.23.9010: Flags [none], win 1024, length 0
11:42:43.338548 IP 10.12.100.44.38345 > 10.12.19.23.16012: Flags [none], win 1024, length 0
11:42:43.380319 IP 10.12.100.44.38346 > 10.12.19.23.2200: Flags [none], win 1024, length 0
11:42:43.383883 IP 10.12.100.44.38345 > 10.12.19.23.5004: Flags [none], win 1024, length 0
11:42:43.386328 IP 10.12.100.44.38346 > 10.12.19.23.9010: Flags [none], win 1024, length 0
11:42:43.386334 IP 10.12.100.44.38346 > 10.12.19.23.888: Flags [none], win 1024, length 0
11:42:43.388750 IP 10.12.100.44.38346 > 10.12.19.23.16012: Flags [none], win 1024, length 0
11:42:43.430660 IP 10.12.100.44.38344 > 10.12.19.23.2001: Flags [none], win 1024, length 0
11:42:43.434368 IP 10.12.100.44.38346 > 10.12.19.23.5004: Flags [none], win 1024, length 0
11:42:43.436521 IP 10.12.100.44.38344 > 10.12.19.23.7402: Flags [none], win 1024, length 0
11:42:43.436540 IP 10.12.100.44.38344 > 10.12.19.23.9917: Flags [none], win 1024, length 0
11:42:43.438791 IP 10.12.100.44.38344 > 10.12.19.23.3784: Flags [none], win 1024, length 0
11:42:43.481706 IP 10.12.100.44.38345 > 10.12.19.23.2001: Flags [none], win 1024, length 0
11:42:43.484973 IP 10.12.100.44.38344 > 10.12.19.23.32772: Flags [none], win 1024, length 0
11:42:43.487478 IP 10.12.100.44.38345 > 10.12.19.23.9917: Flags [none], win 1024, length 0
11:42:43.487495 IP 10.12.100.44.38345 > 10.12.19.23.7402: Flags [none], win 1024, length 0
11:42:43.489850 IP 10.12.100.44.38345 > 10.12.19.23.3784: Flags [none], win 1024, length 0
11:42:43.532052 IP 10.12.100.44.38346 > 10.12.19.23.2001: Flags [none], win 1024, length 0
11:42:43.535314 IP 10.12.100.44.38345 > 10.12.19.23.32772: Flags [none], win 1024, length 0
11:42:43.537697 IP 10.12.100.44.38346 > 10.12.19.23.7402: Flags [none], win 1024, length 0
11:42:43.537719 IP 10.12.100.44.38346 > 10.12.19.23.9917: Flags [none], win 1024, length 0
11:42:43.540234 IP 10.12.100.44.38346 > 10.12.19.23.3784: Flags [none], win 1024, length 0
11:42:43.582986 IP 10.12.100.44.38348 > 10.12.19.23.443: Flags [none], win 1024, length 0
11:42:43.585771 IP 10.12.100.44.38346 > 10.12.19.23.32772: Flags [none], win 1024, length 0
11:42:43.588135 IP 10.12.100.44.38344 > 10.12.19.23.7: Flags [none], win 1024, length 0
11:42:43.588143 IP 10.12.100.44.38344 > 10.12.19.23.7435: Flags [none], win 1024, length 0
11:42:43.590531 IP 10.12.100.44.38344 > 10.12.19.23.3517: Flags [none], win 1024, length 0
11:42:43.641062 IP 10.12.100.44.38345 > 10.12.19.23.3517: Flags [none], win 1024, length 0
11:42:43.691570 IP 10.12.100.44.38346 > 10.12.19.23.3517: Flags [none], win 1024, length 0
11:42:43.745249 IP 10.12.100.44.38345 > 10.12.19.23.7435: Flags [none], win 1024, length 0
11:42:43.745280 IP 10.12.100.44.38345 > 10.12.19.23.7: Flags [none], win 1024, length 0
11:42:43.745282 IP 10.12.100.44.38344 > 10.12.19.23.8333: Flags [none], win 1024, length 0
11:42:43.795478 IP 10.12.100.44.38345 > 10.12.19.23.8333: Flags [none], win 1024, length 0
11:42:43.795495 IP 10.12.100.44.38346 > 10.12.19.23.7: Flags [none], win 1024, length 0
11:42:43.795497 IP 10.12.100.44.38346 > 10.12.19.23.7435: Flags [none], win 1024, length 0
11:42:43.845913 IP 10.12.100.44.38346 > 10.12.19.23.8333: Flags [none], win 1024, length 0
11:42:43.845946 IP 10.12.100.44.38344 > 10.12.19.23.9929: Flags [none], win 1024, length 0
11:42:43.845948 IP 10.12.100.44.38344 > 10.12.19.23.11967: Flags [none], win 1024, length 0
11:42:43.896267 IP 10.12.100.44.38345 > 10.12.19.23.11967: Flags [none], win 1024, length 0
11:42:43.896289 IP 10.12.100.44.38345 > 10.12.19.23.9929: Flags [none], win 1024, length 0
11:42:43.896290 IP 10.12.100.44.38344 > 10.12.19.23.3221: Flags [none], win 1024, length 0
11:42:43.946728 IP 10.12.100.44.38345 > 10.12.19.23.3221: Flags [none], win 1024, length 0
11:42:43.946771 IP 10.12.100.44.38346 > 10.12.19.23.9929: Flags [none], win 1024, length 0
11:42:43.946772 IP 10.12.100.44.38346 > 10.12.19.23.11967: Flags [none], win 1024, length 0
11:42:43.997189 IP 10.12.100.44.38346 > 10.12.19.23.3221: Flags [none], win 1024, length 0
11:42:43.997206 IP 10.12.100.44.38344 > 10.12.19.23.2920: Flags [none], win 1024, length 0
11:42:43.997220 IP 10.12.100.44.38344 > 10.12.19.23.64680: Flags [none], win 1024, length 0
11:42:44.048387 IP 10.12.100.44.38345 > 10.12.19.23.64680: Flags [none], win 1024, length 0
11:42:44.048407 IP 10.12.100.44.38345 > 10.12.19.23.2920: Flags [none], win 1024, length 0
11:42:44.048408 IP 10.12.100.44.38344 > 10.12.19.23.9968: Flags [none], win 1024, length 0
11:42:44.098569 IP 10.12.100.44.38345 > 10.12.19.23.9968: Flags [none], win 1024, length 0
11:42:44.098599 IP 10.12.100.44.38346 > 10.12.19.23.2920: Flags [none], win 1024, length 0
11:42:44.098600 IP 10.12.100.44.38346 > 10.12.19.23.64680: Flags [none], win 1024, length 0
11:42:44.148622 IP 10.12.100.44.38346 > 10.12.19.23.9968: Flags [none], win 1024, length 0
11:42:44.148634 IP 10.12.100.44.38344 > 10.12.19.23.5560: Flags [none], win 1024, length 0
11:42:44.151137 IP 10.12.100.44.38344 > 10.12.19.23.3827: Flags [none], win 1024, length 0
11:42:44.198763 IP 10.12.100.44.38345 > 10.12.19.23.5560: Flags [none], win 1024, length 0
11:42:44.198780 IP 10.12.100.44.38344 > 10.12.19.23.1999: Flags [none], win 1024, length 0
11:42:44.201467 IP 10.12.100.44.38345 > 10.12.19.23.3827: Flags [none], win 1024, length 0
11:42:44.249065 IP 10.12.100.44.38345 > 10.12.19.23.1999: Flags [none], win 1024, length 0
11:42:44.249077 IP 10.12.100.44.38346 > 10.12.19.23.5560: Flags [none], win 1024, length 0
11:42:44.251887 IP 10.12.100.44.38346 > 10.12.19.23.3827: Flags [none], win 1024, length 0
11:42:44.299152 IP 10.12.100.44.38346 > 10.12.19.23.1999: Flags [none], win 1024, length 0
11:42:44.299168 IP 10.12.100.44.38344 > 10.12.19.23.1322: Flags [none], win 1024, length 0
11:42:44.302414 IP 10.12.100.44.38344 > 10.12.19.23.1998: Flags [none], win 1024, length 0
11:42:44.349397 IP 10.12.100.44.38345 > 10.12.19.23.1322: Flags [none], win 1024, length 0
11:42:44.349419 IP 10.12.100.44.38344 > 10.12.19.23.18101: Flags [none], win 1024, length 0
11:42:44.352816 IP 10.12.100.44.38345 > 10.12.19.23.1998: Flags [none], win 1024, length 0
