11:43:17.422001 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:43:18.877460 IP 10.12.100.44.64487 > 10.12.19.23.139: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.877503 IP 10.12.100.44.64487 > 10.12.19.23.443: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.877527 IP 10.12.100.44.64487 > 10.12.19.23.3389: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.877529 IP 10.12.100.44.64487 > 10.12.19.23.23: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.877606 IP 10.12.100.44.64487 > 10.12.19.23.199: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.880166 IP 10.12.100.44.64487 > 10.12.19.23.5544: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.880172 IP 10.12.100.44.64487 > 10.12.19.23.1947: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.927708 IP 10.12.100.44.64486 > 10.12.19.23.5877: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.927742 IP 10.12.100.44.64486 > 10.12.19.23.1113: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.927743 IP 10.12.100.44.64486 > 10.12.19.23.3371: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.927744 IP 10.12.100.44.64486 > 10.12.19.23.8333: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.927758 IP 10.12.100.44.64486 > 10.12.19.23.7911: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.930074 IP 10.12.100.44.64486 > 10.12.19.23.2048: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.930083 IP 10.12.100.44.64486 > 10.12.19.23.3814: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.930144 IP 10.12.100.44.64486 > 10.12.19.23.1049: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.932489 IP 10.12.100.44.64486 > 10.12.19.23.1050: Flags [F], seq 2219911413, win 1024, length 0
