11:45:57.047123 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:45:58.504451 IP 10.12.100.44.55669 > 10.12.19.23.80: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.504493 IP 10.12.100.44.55669 > 10.12.19.23.1025: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.504495 IP 10.12.100.44.55669 > 10.12.19.23.1720: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.504556 IP 10.12.100.44.55669 > 10.12.19.23.443: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.504635 IP 10.12.100.44.55669 > 10.12.19.23.445: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.504638 IP 10.12.100.44.55669 > 10.12.19.23.139: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.504780 IP 10.12.100.44.55669 > 10.12.19.23.25: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.552997 IP 10.12.100.44.55668 > 10.12.19.23.4: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.555351 IP 10.12.100.44.55668 > 10.12.19.23.6502: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.555359 IP 10.12.100.44.55668 > 10.12.19.23.3809: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.555471 IP 10.12.100.44.55668 > 10.12.19.23.2021: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.555480 IP 10.12.100.44.55668 > 10.12.19.23.85: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.555482 IP 10.12.100.44.55668 > 10.12.19.23.1234: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.555484 IP 10.12.100.44.55668 > 10.12.19.23.1126: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.555485 IP 10.12.100.44.55668 > 10.12.19.23.3971: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.555531 IP 10.12.100.44.55668 > 10.12.19.23.8084: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.555534 IP 10.12.100.44.55668 > 10.12.19.23.1073: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.603216 IP 10.12.100.44.55669 > 10.12.19.23.4: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.605824 IP 10.12.100.44.55669 > 10.12.19.23.1073: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.605846 IP 10.12.100.44.55669 > 10.12.19.23.8084: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.605847 IP 10.12.100.44.55669 > 10.12.19.23.3971: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.605849 IP 10.12.100.44.55669 > 10.12.19.23.1126: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.605850 IP 10.12.100.44.55669 > 10.12.19.23.1234: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.605896 IP 10.12.100.44.55669 > 10.12.19.23.85: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.605899 IP 10.12.100.44.55669 > 10.12.19.23.2021: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.605901 IP 10.12.100.44.55669 > 10.12.19.23.3809: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.605938 IP 10.12.100.44.55669 > 10.12.19.23.6502: Flags [.], ack 3264751317, win 1024, length 0
11:45:59.658084 IP 10.12.100.44.55670 > 10.12.19.23.6502: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658106 IP 10.12.100.44.55670 > 10.12.19.23.3809: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658108 IP 10.12.100.44.55670 > 10.12.19.23.2021: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658110 IP 10.12.100.44.55670 > 10.12.19.23.85: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658176 IP 10.12.100.44.55670 > 10.12.19.23.1234: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658180 IP 10.12.100.44.55670 > 10.12.19.23.1126: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658182 IP 10.12.100.44.55670 > 10.12.19.23.3971: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658229 IP 10.12.100.44.55670 > 10.12.19.23.8084: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658232 IP 10.12.100.44.55670 > 10.12.19.23.1073: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658234 IP 10.12.100.44.55670 > 10.12.19.23.4: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658235 IP 10.12.100.44.55670 > 10.12.19.23.25: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658306 IP 10.12.100.44.55670 > 10.12.19.23.139: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.658314 IP 10.12.100.44.55670 > 10.12.19.23.445: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.708392 IP 10.12.100.44.55670 > 10.12.19.23.1720: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.708415 IP 10.12.100.44.55670 > 10.12.19.23.1025: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.708417 IP 10.12.100.44.55670 > 10.12.19.23.4045: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.708419 IP 10.12.100.44.55670 > 10.12.19.23.6792: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.708420 IP 10.12.100.44.55670 > 10.12.19.23.111: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.708421 IP 10.12.100.44.55670 > 10.12.19.23.21: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.708469 IP 10.12.100.44.55670 > 10.12.19.23.554: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.708472 IP 10.12.100.44.55670 > 10.12.19.23.3389: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.708474 IP 10.12.100.44.55670 > 10.12.19.23.22: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.711061 IP 10.12.100.44.55670 > 10.12.19.23.110: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.711083 IP 10.12.100.44.55670 > 10.12.19.23.8888: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.711085 IP 10.12.100.44.55670 > 10.12.19.23.256: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.711086 IP 10.12.100.44.55670 > 10.12.19.23.995: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.759173 IP 10.12.100.44.55671 > 10.12.19.23.443: Flags [.], ack 3281594324, win 1024, length 0
11:45:59.759207 IP 10.12.100.44.55670 > 10.12.19.23.3306: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.759210 IP 10.12.100.44.55670 > 10.12.19.23.143: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.759212 IP 10.12.100.44.55670 > 10.12.19.23.23: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.759291 IP 10.12.100.44.55670 > 10.12.19.23.135: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.759294 IP 10.12.100.44.55670 > 10.12.19.23.53: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.759296 IP 10.12.100.44.55670 > 10.12.19.23.199: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.759442 IP 10.12.100.44.55670 > 10.12.19.23.993: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.759449 IP 10.12.100.44.55670 > 10.12.19.23.8080: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.762055 IP 10.12.100.44.55670 > 10.12.19.23.1723: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.762062 IP 10.12.100.44.55670 > 10.12.19.23.587: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.762064 IP 10.12.100.44.55670 > 10.12.19.23.113: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.762066 IP 10.12.100.44.55670 > 10.12.19.23.5900: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.814386 IP 10.12.100.44.55668 > 10.12.19.23.1026: Flags [.], ack 3264816852, win 1024, length 0
11:45:59.866851 IP 10.12.100.44.55669 > 10.12.19.23.1026: Flags [.], ack 3264751317, win 1024, length 0
11:45:59.866874 IP 10.12.100.44.55668 > 10.12.19.23.6059: Flags [.], ack 3264816852, win 1024, length 0
11:45:59.866877 IP 10.12.100.44.55668 > 10.12.19.23.1500: Flags [.], ack 3264816852, win 1024, length 0
11:45:59.866878 IP 10.12.100.44.55668 > 10.12.19.23.49176: Flags [.], ack 3264816852, win 1024, length 0
11:45:59.866880 IP 10.12.100.44.55668 > 10.12.19.23.44442: Flags [.], ack 3264816852, win 1024, length 0
11:45:59.866929 IP 10.12.100.44.55668 > 10.12.19.23.6779: Flags [.], ack 3264816852, win 1024, length 0
11:45:59.866933 IP 10.12.100.44.55668 > 10.12.19.23.5226: Flags [.], ack 3264816852, win 1024, length 0
11:45:59.866935 IP 10.12.100.44.55668 > 10.12.19.23.5906: Flags [.], ack 3264816852, win 1024, length 0
11:45:59.867039 IP 10.12.100.44.55668 > 10.12.19.23.1310: Flags [.], ack 3264816852, win 1024, length 0
11:45:59.918125 IP 10.12.100.44.55669 > 10.12.19.23.1310: Flags [.], ack 3264751317, win 1024, length 0
11:45:59.918174 IP 10.12.100.44.55669 > 10.12.19.23.5906: Flags [.], ack 3264751317, win 1024, length 0
11:45:59.918176 IP 10.12.100.44.55669 > 10.12.19.23.5226: Flags [.], ack 3264751317, win 1024, length 0
11:45:59.918178 IP 10.12.100.44.55669 > 10.12.19.23.6779: Flags [.], ack 3264751317, win 1024, length 0
11:45:59.918180 IP 10.12.100.44.55669 > 10.12.19.23.44442: Flags [.], ack 3264751317, win 1024, length 0
11:45:59.918264 IP 10.12.100.44.55669 > 10.12.19.23.49176: Flags [.], ack 3264751317, win 1024, length 0
11:45:59.918267 IP 10.12.100.44.55669 > 10.12.19.23.1500: Flags [.], ack 3264751317, win 1024, length 0
11:45:59.918269 IP 10.12.100.44.55669 > 10.12.19.23.6059: Flags [.], ack 3264751317, win 1024, length 0
11:45:59.918310 IP 10.12.100.44.55670 > 10.12.19.23.1026: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.969008 IP 10.12.100.44.55670 > 10.12.19.23.6059: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.969030 IP 10.12.100.44.55670 > 10.12.19.23.1500: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.969032 IP 10.12.100.44.55670 > 10.12.19.23.49176: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.969034 IP 10.12.100.44.55670 > 10.12.19.23.44442: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.969035 IP 10.12.100.44.55670 > 10.12.19.23.6779: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.969089 IP 10.12.100.44.55670 > 10.12.19.23.5226: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.969092 IP 10.12.100.44.55670 > 10.12.19.23.5906: Flags [.], ack 3264947926, win 1024, length 0
11:45:59.969093 IP 10.12.100.44.55670 > 10.12.19.23.1310: Flags [.], ack 3264947926, win 1024, length 0
